CompanyID,CompanyName,CompanyWebsite,CompanyType,Status,BusinessDescription,TaxID,FoundedYear,NUM_Employees_From,NUM_Employees_To,DateOfEmployee,Full_HQ_Address,Full_HQ_Address_Source,address_level_1,Country,administrative_area_level_1,Locality,Source,CompanyEmail,Country_Code,Phone,ZipCode,LinkedIn,FaceBook,Youtube,Twitter,DUNSNumber,SICCode,CageCode
4204944,"Awg Co., Ltd.",http://www.aw-g.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5362561,"SK Trading Co., Ltd.",https://www.sktradingco.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4756222,"Shanghai Leeworld&Aiji Co.,Ltd",http://www.aiji.com.cn,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4205492,"Seen Duck Electronics Co., Ltd.",http://www.seenduck.co.kr,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4454113,"Dk Motors Co., Ltd.",http://www.dkpc.co.kr,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5153685,Mondial Saturn Saab Isuzu Lte,http://www.mondial-ssi.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4940086,Kapital Dinamica Sa De Cv,http://www.en.datocapital.mx,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4756451,"Jin Tech Co.,Ltd.",http://www.jinteche.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4254666,"Jiujiang Dunan Laser Technology Co., Ltd.",http://www.dunan-lat.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4755266,Kyungwon Co Ltd,http://www.kyungwon82.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4434073,"Zhejiang High-Tech Enterprise Co., Ltd.",http://www.htechent.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4207899,"Dae Dong Sa Co., Ltd.",http://www.daedongsa.co.kr,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
